ticker,company,sector,forms_counts,filings,min_bytes,max_bytes
AAPL,Apple Inc.,Information Technology,"10-K:1, 8-K:2, DEF 14A:1",4,3671,301187
ABBV,AbbVie,Health Care,"10-K:1, 8-K:2, DEF 14A:1",4,7013,428027
ABT,Abbott Laboratories,Health Care,"10-K:1, 8-K:2, DEF 14A:1",4,3559,395565
ACN,Accenture,Information Technology,"10-K:1, 8-K:2, DEF 14A:1",4,3545,386558
ADBE,Adobe Inc.,Information Technology,"10-K:1, 8-K:2, DEF 14A:1",4,7888,478738
AIG,American International Group,Financials,"10-K:1, 8-K:2, DEF 14A:1",4,3752,755017
AMD,Advanced Micro Devices,Information Technology,"10-K:1, 8-K:2, DEF 14A:1",4,8660,481254
AMGN,Amgen,Health Care,"10-K:1, 8-K:2, DEF 14A:1",4,4953,649998
AMT,American Tower,Real Estate,"10-K:1, 8-K:2, DEF 14A:1",4,4538,561007
AMZN,Amazon,Consumer Discretionary,"10-K:1, 8-K:2, DEF 14A:1",4,6649,311617
AVGO,Broadcom,Information Technology,"10-K:1, 8-K:2, DEF 14A:1",4,3211,372837
AXP,American Express,Financials,"10-K:1, 8-K:2, DEF 14A:1",4,3332,635898
BA,Boeing,Industrials,"10-K:1, 8-K:2, DEF 14A:1",4,3144,426879
BAC,Bank of America,Financials,"10-K:1, 8-K:2, DEF 14A:1",4,7749,901124
BKNG,Booking Holdings,Consumer Discretionary,"10-K:1, 8-K:2, DEF 14A:1",4,6885,364452
BLK,BlackRock,Financials,"10-K:1, 8-K:2, DEF 14A:1",4,3478,663724
BMY,Bristol Myers Squibb,Health Care,"10-K:1, 8-K:2, DEF 14A:1",4,5276,538622
BNY,Bank of New York Mellon,Financials,"10-K:1, 8-K:2, DEF 14A:1",4,5020,370515
BRK.B,Berkshire Hathaway (Class B),Financials,"10-K:1, 8-K:2, DEF 14A:1",4,7318,519607
C,Citigroup,Financials,"10-K:1, 8-K:2, DEF 14A:1",4,4259,1193472
CAT,Caterpillar Inc.,Industrials,"10-K:1, 8-K:2, DEF 14A:1",4,3671,445202
CL,Colgate-Palmolive,Consumer Staples,"10-K:1, 8-K:2, DEF 14A:1",4,5134,346160
CMCSA,Comcast,Communication Services,"10-K:1, 8-K:2, DEF 14A:1",4,3622,406680
COF,Capital One,Financials,"10-K:1, 8-K:2, DEF 14A:1",4,4705,891049
COP,ConocoPhillips,Energy,"10-K:1, 8-K:2, DEF 14A:1",4,2528,528089
COST,Costco,Consumer Staples,"10-K:1, 8-K:2, DEF 14A:1",4,2820,211383
CRM,Salesforce,Information Technology,"10-K:1, 8-K:2, DEF 14A:1",4,4940,655819
CSCO,Cisco,Information Technology,"10-K:1, 8-K:2, DEF 14A:1",4,4842,407411
CVS,CVS Health,Health Care,"10-K:1, 8-K:2, DEF 14A:1",4,3722,770966
CVX,Chevron Corporation,Energy,"10-K:1, 8-K:2, DEF 14A:1",4,2942,498828
DE,Deere & Company,Industrials,"10-K:1, 8-K:2, DEF 14A:1",4,3774,513129
DHR,Danaher Corporation,Health Care,"10-K:1, 8-K:2, DEF 14A:1",4,6671,493073
DIS,Walt Disney Company (The),Communication Services,"10-K:1, 8-K:2, DEF 14A:1",4,3455,452669
DUK,Duke Energy,Utilities,"10-K:1, 8-K:2, DEF 14A:1",4,5512,1061513
EMR,Emerson Electric,Industrials,"10-K:1, 8-K:2, DEF 14A:1",4,5561,303709
FDX,FedEx,Industrials,"10-K:1, 8-K:2, DEF 14A:1",4,6466,678687
GD,General Dynamics,Industrials,"10-K:1, 8-K:2, DEF 14A:1",4,2978,316212
GE,GE Aerospace,Industrials,"10-K:1, 8-K:2, DEF 14A:1",4,4823,425159
GILD,Gilead Sciences,Health Care,"10-K:1, 8-K:2, DEF 14A:1",4,4532,487215
GM,General Motors,Consumer Discretionary,"10-K:1, 8-K:2, DEF 14A:1",4,3421,460405
GOOGL,Alphabet Inc. (Class A),Communication Services,"10-K:1, 8-K:2, DEF 14A:1",4,10695,415995
GS,Goldman Sachs,Financials,"10-K:1, 8-K:2, DEF 14A:1",4,3961,1118584
HD,Home Depot,Consumer Discretionary,"10-K:1, 8-K:2, DEF 14A:1",4,3596,418070
HON,Honeywell,Industrials,"10-K:1, 8-K:2, DEF 14A:1",4,11040,519965
IBM,IBM,Information Technology,"10-K:1, 8-K:2, DEF 14A:1",4,6061,431791
INTC,Intel,Information Technology,"10-K:1, 8-K:2, DEF 14A:1",4,5468,524937
INTU,Intuit,Information Technology,"10-K:1, 8-K:2, DEF 14A:1",4,5572,425592
