ticker,name,sector,form,filing_date,accession,path,bytes,characters,words,estimated_tokens
AAPL,Apple Inc.,Information Technology,8-K,2026-04-30,0000320193-26-000011,AAPL\8-K_2026-04-30.txt,3671,3513,550,732
AAPL,Apple Inc.,Information Technology,8-K,2026-04-20,0001140361-26-015711,AAPL\8-K_2026-04-20.txt,4627,4416,674,896
AAPL,Apple Inc.,Information Technology,DEF 14A,2026-01-08,0001308179-26-000008,AAPL\DEF14A_2026-01-08.txt,301187,290807,44580,59291
AAPL,Apple Inc.,Information Technology,10-K,2025-10-31,0000320193-25-000079,AAPL\10-K_2025-10-31.txt,212121,207484,31233,41540
ABBV,AbbVie,Health Care,8-K,2026-07-06,0001551152-26-000021,ABBV\8-K_2026-07-06.txt,7013,6883,1020,1357
ABBV,AbbVie,Health Care,8-K,2026-06-22,0001104659-26-076067,ABBV\8-K_2026-06-22.txt,10872,10511,1568,2085
ABBV,AbbVie,Health Care,DEF 14A,2026-03-23,0001104659-26-033387,ABBV\DEF14A_2026-03-23.txt,332053,298370,42688,56775
ABBV,AbbVie,Health Care,10-K,2026-02-20,0001551152-26-000008,ABBV\10-K_2026-02-20.txt,428027,421355,62535,83172
ABT,Abbott Laboratories,Health Care,8-K,2026-04-27,0001104659-26-049434,ABT\8-K_2026-04-27.txt,12707,12236,1881,2502
ABT,Abbott Laboratories,Health Care,8-K,2026-04-17,0001104659-26-044892,ABT\8-K_2026-04-17.txt,3559,3408,509,677
ABT,Abbott Laboratories,Health Care,DEF 14A,2026-03-13,0001308179-26-000064,ABT\DEF14A_2026-03-13.txt,395565,386572,60127,79969
ABT,Abbott Laboratories,Health Care,10-K,2026-02-20,0001628280-26-010185,ABT\10-K_2026-02-20.txt,318297,312235,46300,61579
ACN,Accenture,Information Technology,8-K,2026-07-10,0001193125-26-300813,ACN\8-K_2026-07-10.txt,6124,5878,910,1210
ACN,Accenture,Information Technology,8-K,2026-06-23,0001467373-26-000035,ACN\8-K_2026-06-23.txt,3545,3426,537,714
ACN,Accenture,Information Technology,DEF 14A,2025-12-12,0001308179-25-000651,ACN\DEF14A_2025-12-12.txt,386558,377063,57701,76742
ACN,Accenture,Information Technology,10-K,2025-10-10,0001467373-25-000217,ACN\10-K_2025-10-10.txt,364720,358707,54891,73005
ADBE,Adobe Inc.,Information Technology,8-K,2026-06-11,0000796343-26-000109,ADBE\8-K_2026-06-11.txt,15819,15638,2311,3074
ADBE,Adobe Inc.,Information Technology,8-K,2026-04-21,0000796343-26-000101,ADBE\8-K_2026-04-21.txt,7888,7646,1247,1659
ADBE,Adobe Inc.,Information Technology,DEF 14A,2026-02-27,0000796343-26-000043,ADBE\DEF14A_2026-02-27.txt,478738,469784,72499,96424
ADBE,Adobe Inc.,Information Technology,10-K,2026-01-15,0000796343-26-000003,ADBE\10-K_2026-01-15.txt,352350,346479,51094,67955
AIG,American International Group,Financials,8-K,2026-05-14,0000005272-26-000066,AIG\8-K_2026-05-14.txt,5837,5645,905,1204
AIG,American International Group,Financials,8-K,2026-04-30,0000005272-26-000048,AIG\8-K_2026-04-30.txt,3752,3632,554,737
