ticker,name,sector,form,filing_date,accession,source_url,local_path,status
AAPL,Apple Inc.,Information Technology,8-K,2026-04-30,0000320193-26-000011,https://www.sec.gov/Archives/edgar/data/320193/000032019326000011/aapl-20260430.htm,sp100_dataset/AAPL/8-K_2026-04-30.txt,cached
AAPL,Apple Inc.,Information Technology,8-K,2026-04-20,0001140361-26-015711,https://www.sec.gov/Archives/edgar/data/320193/000114036126015711/ef20071035_8k.htm,sp100_dataset/AAPL/8-K_2026-04-20.txt,cached
AAPL,Apple Inc.,Information Technology,DEF 14A,2026-01-08,0001308179-26-000008,https://www.sec.gov/Archives/edgar/data/320193/000130817926000008/aapl014016-def14a.htm,sp100_dataset/AAPL/DEF14A_2026-01-08.txt,cached
AAPL,Apple Inc.,Information Technology,10-K,2025-10-31,0000320193-25-000079,https://www.sec.gov/Archives/edgar/data/320193/000032019325000079/aapl-20250927.htm,sp100_dataset/AAPL/10-K_2025-10-31.txt,cached
ABBV,AbbVie,Health Care,8-K,2026-07-06,0001551152-26-000021,https://www.sec.gov/Archives/edgar/data/1551152/000155115226000021/abbv-20260706.htm,sp100_dataset/ABBV/8-K_2026-07-06.txt,cached
ABBV,AbbVie,Health Care,8-K,2026-06-22,0001104659-26-076067,https://www.sec.gov/Archives/edgar/data/1551152/000110465926076067/tm2618365d1_8k.htm,sp100_dataset/ABBV/8-K_2026-06-22.txt,cached
ABBV,AbbVie,Health Care,DEF 14A,2026-03-23,0001104659-26-033387,https://www.sec.gov/Archives/edgar/data/1551152/000110465926033387/abbv-20260508xdef14a.htm,sp100_dataset/ABBV/DEF14A_2026-03-23.txt,cached
ABBV,AbbVie,Health Care,10-K,2026-02-20,0001551152-26-000008,https://www.sec.gov/Archives/edgar/data/1551152/000155115226000008/abbv-20251231.htm,sp100_dataset/ABBV/10-K_2026-02-20.txt,cached
ABT,Abbott Laboratories,Health Care,8-K,2026-04-27,0001104659-26-049434,https://www.sec.gov/Archives/edgar/data/1800/000110465926049434/tm2612318d1_8k.htm,sp100_dataset/ABT/8-K_2026-04-27.txt,cached
ABT,Abbott Laboratories,Health Care,8-K,2026-04-17,0001104659-26-044892,https://www.sec.gov/Archives/edgar/data/1800/000110465926044892/tm2611915d1_8k.htm,sp100_dataset/ABT/8-K_2026-04-17.txt,cached
ABT,Abbott Laboratories,Health Care,DEF 14A,2026-03-13,0001308179-26-000064,https://www.sec.gov/Archives/edgar/data/1800/000130817926000064/abt-20260311.htm,sp100_dataset/ABT/DEF14A_2026-03-13.txt,cached
ABT,Abbott Laboratories,Health Care,10-K,2026-02-20,0001628280-26-010185,https://www.sec.gov/Archives/edgar/data/1800/000162828026010185/abt-20251231.htm,sp100_dataset/ABT/10-K_2026-02-20.txt,cached
ACN,Accenture,Information Technology,8-K,2026-07-10,0001193125-26-300813,https://www.sec.gov/Archives/edgar/data/1467373/000119312526300813/d181172d8k.htm,sp100_dataset/ACN/8-K_2026-07-10.txt,cached
ACN,Accenture,Information Technology,8-K,2026-06-23,0001467373-26-000035,https://www.sec.gov/Archives/edgar/data/1467373/000146737326000035/acn-20260623.htm,sp100_dataset/ACN/8-K_2026-06-23.txt,cached
ACN,Accenture,Information Technology,DEF 14A,2025-12-12,0001308179-25-000651,https://www.sec.gov/Archives/edgar/data/1467373/000130817925000651/acn-20251210.htm,sp100_dataset/ACN/DEF14A_2025-12-12.txt,cached
ACN,Accenture,Information Technology,10-K,2025-10-10,0001467373-25-000217,https://www.sec.gov/Archives/edgar/data/1467373/000146737325000217/acn-20250831.htm,sp100_dataset/ACN/10-K_2025-10-10.txt,cached
ADBE,Adobe Inc.,Information Technology,8-K,2026-06-11,0000796343-26-000109,https://www.sec.gov/Archives/edgar/data/796343/000079634326000109/adbe-20260608.htm,sp100_dataset/ADBE/8-K_2026-06-11.txt,cached
ADBE,Adobe Inc.,Information Technology,8-K,2026-04-21,0000796343-26-000101,https://www.sec.gov/Archives/edgar/data/796343/000079634326000101/adbe-20260415.htm,sp100_dataset/ADBE/8-K_2026-04-21.txt,cached
ADBE,Adobe Inc.,Information Technology,DEF 14A,2026-02-27,0000796343-26-000043,https://www.sec.gov/Archives/edgar/data/796343/000079634326000043/adbe-20260227.htm,sp100_dataset/ADBE/DEF14A_2026-02-27.txt,cached
ADBE,Adobe Inc.,Information Technology,10-K,2026-01-15,0000796343-26-000003,https://www.sec.gov/Archives/edgar/data/796343/000079634326000003/adbe-20251128.htm,sp100_dataset/ADBE/10-K_2026-01-15.txt,cached
AIG,American International Group,Financials,8-K,2026-05-14,0000005272-26-000066,https://www.sec.gov/Archives/edgar/data/5272/000000527226000066/aig-20260513.htm,sp100_dataset/AIG/8-K_2026-05-14.txt,cached
AIG,American International Group,Financials,8-K,2026-04-30,0000005272-26-000048,https://www.sec.gov/Archives/edgar/data/5272/000000527226000048/aig-20260430.htm,sp100_dataset/AIG/8-K_2026-04-30.txt,cached
AIG,American International Group,Financials,DEF 14A,2026-03-31,0000005272-26-000039,https://www.sec.gov/Archives/edgar/data/5272/000000527226000039/aig-20260331.htm,sp100_dataset/AIG/DEF14A_2026-03-31.txt,cached
AIG,American International Group,Financials,10-K,2026-02-12,0000005272-26-000023,https://www.sec.gov/Archives/edgar/data/5272/000000527226000023/aig-20251231.htm,sp100_dataset/AIG/10-K_2026-02-12.txt,cached
AMD,Advanced Micro Devices,Information Technology,8-K,2026-07-01,0000002488-26-000115,https://www.sec.gov/Archives/edgar/data/2488/000000248826000115/amd-20260626.htm,sp100_dataset/AMD/8-K_2026-07-01.txt,cached
AMD,Advanced Micro Devices,Information Technology,8-K,2026-05-15,0001193125-26-226746,https://www.sec.gov/Archives/edgar/data/2488/000119312526226746/d118163d8k.htm,sp100_dataset/AMD/8-K_2026-05-15.txt,cached
AMD,Advanced Micro Devices,Information Technology,DEF 14A,2026-03-27,0001193125-26-129057,https://www.sec.gov/Archives/edgar/data/2488/000119312526129057/d85856ddef14a.htm,sp100_dataset/AMD/DEF14A_2026-03-27.txt,cached
AMD,Advanced Micro Devices,Information Technology,10-K,2026-02-04,0000002488-26-000018,https://www.sec.gov/Archives/edgar/data/2488/000000248826000018/amd-20251227.htm,sp100_dataset/AMD/10-K_2026-02-04.txt,cached
AMGN,Amgen,Health Care,8-K,2026-05-20,0001193125-26-232786,https://www.sec.gov/Archives/edgar/data/318154/000119312526232786/amgn-20260519.htm,sp100_dataset/AMGN/8-K_2026-05-20.txt,cached
AMGN,Amgen,Health Care,8-K,2026-05-19,0000318154-26-000097,https://www.sec.gov/Archives/edgar/data/318154/000031815426000097/amgn-20260519.htm,sp100_dataset/AMGN/8-K_2026-05-19.txt,cached
AMGN,Amgen,Health Care,DEF 14A,2026-04-07,0001193125-26-145588,https://www.sec.gov/Archives/edgar/data/318154/000119312526145588/d13946ddef14a.htm,sp100_dataset/AMGN/DEF14A_2026-04-07.txt,cached
AMGN,Amgen,Health Care,10-K,2026-02-13,0000318154-26-000010,https://www.sec.gov/Archives/edgar/data/318154/000031815426000010/amgn-20251231.htm,sp100_dataset/AMGN/10-K_2026-02-13.txt,cached
AMT,American Tower,Real Estate,8-K,2026-06-04,0001053507-26-000127,https://www.sec.gov/Archives/edgar/data/1053507/000105350726000127/amt-20260602.htm,sp100_dataset/AMT/8-K_2026-06-04.txt,cached
AMT,American Tower,Real Estate,8-K,2026-06-02,0001053507-26-000123,https://www.sec.gov/Archives/edgar/data/1053507/000105350726000123/amt-20260602.htm,sp100_dataset/AMT/8-K_2026-06-02.txt,cached
AMT,American Tower,Real Estate,DEF 14A,2026-04-08,0001053507-26-000088,https://www.sec.gov/Archives/edgar/data/1053507/000105350726000088/amt-20260406.htm,sp100_dataset/AMT/DEF14A_2026-04-08.txt,cached
AMT,American Tower,Real Estate,10-K,2026-02-24,0001053507-26-000035,https://www.sec.gov/Archives/edgar/data/1053507/000105350726000035/amt-20251231.htm,sp100_dataset/AMT/10-K_2026-02-24.txt,cached
AMZN,Amazon,Consumer Discretionary,8-K,2026-07-09,0001104659-26-082293,https://www.sec.gov/Archives/edgar/data/1018724/000110465926082293/tm2619352d4_8k.htm,sp100_dataset/AMZN/8-K_2026-07-09.txt,cached
AMZN,Amazon,Consumer Discretionary,8-K,2026-06-12,0001104659-26-073562,https://www.sec.gov/Archives/edgar/data/1018724/000110465926073562/tm2613616d5_8k.htm,sp100_dataset/AMZN/8-K_2026-06-12.txt,cached
AMZN,Amazon,Consumer Discretionary,DEF 14A,2026-04-09,0001104659-26-041026,https://www.sec.gov/Archives/edgar/data/1018724/000110465926041026/tm261382-1_def14a.htm,sp100_dataset/AMZN/DEF14A_2026-04-09.txt,cached
AMZN,Amazon,Consumer Discretionary,10-K,2026-02-06,0001018724-26-000004,https://www.sec.gov/Archives/edgar/data/1018724/000101872426000004/amzn-20251231.htm,sp100_dataset/AMZN/10-K_2026-02-06.txt,cached
AVGO,Broadcom,Information Technology,8-K,2026-07-06,0001193125-26-295589,https://www.sec.gov/Archives/edgar/data/1730168/000119312526295589/d84378d8k.htm,sp100_dataset/AVGO/8-K_2026-07-06.txt,cached
AVGO,Broadcom,Information Technology,8-K,2026-06-18,0001193125-26-275077,https://www.sec.gov/Archives/edgar/data/1730168/000119312526275077/d149683d8k.htm,sp100_dataset/AVGO/8-K_2026-06-18.txt,cached
AVGO,Broadcom,Information Technology,DEF 14A,2026-03-02,0001193125-26-085691,https://www.sec.gov/Archives/edgar/data/1730168/000119312526085691/d49254ddef14a.htm,sp100_dataset/AVGO/DEF14A_2026-03-02.txt,cached
AVGO,Broadcom,Information Technology,10-K,2025-12-18,0001730168-25-000121,https://www.sec.gov/Archives/edgar/data/1730168/000173016825000121/avgo-20251102.htm,sp100_dataset/AVGO/10-K_2025-12-18.txt,cached
AXP,American Express,Financials,8-K,2026-07-15,0000004962-26-000302,https://www.sec.gov/Archives/edgar/data/4962/000000496226000302/axp-20260715.htm,sp100_dataset/AXP/8-K_2026-07-15.txt,cached
AXP,American Express,Financials,8-K,2026-06-25,0000004962-26-000281,https://www.sec.gov/Archives/edgar/data/4962/000000496226000281/axp-20260625.htm,sp100_dataset/AXP/8-K_2026-06-25.txt,cached
