source_id,target_id,span_id
CAT|Revenue|FY2025|USD_millions|IncomeStatement,0000018230-26-000008|section_38,section_38
CAT|Revenue|FY2024|USD_millions|IncomeStatement,0000018230-26-000008|section_38,section_38
CAT|Revenue|FY2023|USD_millions|IncomeStatement,0000018230-26-000008|section_38,section_38
CAT|Operating Income|FY2025|USD_millions|IncomeStatement,0000018230-26-000008|section_38,section_38
CAT|Operating Income|FY2024|USD_millions|IncomeStatement,0000018230-26-000008|section_38,section_38
CAT|Operating Income|FY2023|USD_millions|IncomeStatement,0000018230-26-000008|section_38,section_38
CAT|Net Income|FY2025|USD_millions|IncomeStatement,0000018230-26-000008|section_38,section_38
CAT|Net Income|FY2024|USD_millions|IncomeStatement,0000018230-26-000008|section_38,section_38
CAT|Net Income|FY2023|USD_millions|IncomeStatement,0000018230-26-000008|section_38,section_38
CAT|Total Assets|FY2025|USD_millions|BalanceSheet,0000018230-26-000008|section_38,section_38
CAT|Total Assets|FY2024|USD_millions|BalanceSheet,0000018230-26-000008|section_38,section_38
CAT|Total Liabilities|FY2025|USD_millions|BalanceSheet,0000018230-26-000008|section_38,section_38
CAT|Total Liabilities|FY2024|USD_millions|BalanceSheet,0000018230-26-000008|section_38,section_38
CAT|Total Equity|FY2025|USD_millions|BalanceSheet,0000018230-26-000008|section_38,section_38
CAT|Total Equity|FY2024|USD_millions|BalanceSheet,0000018230-26-000008|section_38,section_38
"CAT|Earnings|April 30, 2026|0000018230-26-000017",0000018230-26-000017|section_1,section_1
AMGN|Revenue|FY2025|USD_millions|IncomeStatement,0000318154-26-000010|section_53,section_53
AMGN|Revenue|FY2024|USD_millions|IncomeStatement,0000318154-26-000010|section_53,section_53
AMGN|Revenue|FY2023|USD_millions|IncomeStatement,0000318154-26-000010|section_53,section_53
AMGN|Operating Income|FY2025|USD_millions|IncomeStatement,0000318154-26-000010|section_53,section_53
AMGN|Operating Income|FY2024|USD_millions|IncomeStatement,0000318154-26-000010|section_53,section_53
