id,ticker,period,value,unit,scope,raw_label
CAT|Revenue|FY2025|USD_millions|IncomeStatement,CAT,FY2025,67589,USD_millions,IncomeStatement,Total sales and revenues
CAT|Revenue|FY2024|USD_millions|IncomeStatement,CAT,FY2024,64809,USD_millions,IncomeStatement,Total sales and revenues
CAT|Revenue|FY2023|USD_millions|IncomeStatement,CAT,FY2023,67060,USD_millions,IncomeStatement,Total sales and revenues
CAT|Operating Income|FY2025|USD_millions|IncomeStatement,CAT,FY2025,11151,USD_millions,IncomeStatement,Operating profit
CAT|Operating Income|FY2024|USD_millions|IncomeStatement,CAT,FY2024,13072,USD_millions,IncomeStatement,Operating profit
CAT|Operating Income|FY2023|USD_millions|IncomeStatement,CAT,FY2023,12966,USD_millions,IncomeStatement,Operating profit
CAT|Net Income|FY2025|USD_millions|IncomeStatement,CAT,FY2025,8882,USD_millions,IncomeStatement,Profit of consolidated and affiliated companies
CAT|Net Income|FY2024|USD_millions|IncomeStatement,CAT,FY2024,10788,USD_millions,IncomeStatement,Profit of consolidated and affiliated companies
CAT|Net Income|FY2023|USD_millions|IncomeStatement,CAT,FY2023,10332,USD_millions,IncomeStatement,Profit of consolidated and affiliated companies
CAT|Total Assets|FY2025|USD_millions|BalanceSheet,CAT,FY2025,98585,USD_millions,BalanceSheet,Total assets
CAT|Total Assets|FY2024|USD_millions|BalanceSheet,CAT,FY2024,87764,USD_millions,BalanceSheet,Total assets
CAT|Total Liabilities|FY2025|USD_millions|BalanceSheet,CAT,FY2025,77267,USD_millions,BalanceSheet,Total liabilities
CAT|Total Liabilities|FY2024|USD_millions|BalanceSheet,CAT,FY2024,68270,USD_millions,BalanceSheet,Total liabilities
CAT|Total Equity|FY2025|USD_millions|BalanceSheet,CAT,FY2025,21318,USD_millions,BalanceSheet,Total shareholders’ equity
CAT|Total Equity|FY2024|USD_millions|BalanceSheet,CAT,FY2024,19494,USD_millions,BalanceSheet,Total shareholders’ equity
